"time"	"totcarea"	"numcohorts"	"n_Slow"	"n_Fast"	"n_LLP"	"n_SLB"	"n_Intermediate"	"ba_Slow"	"ba_Fast"	"ba_LLP"	"ba_SLB"	"ba_Intermediate"	"agb_Slow"	"agb_Fast"	"agb_LLP"	"agb_SLB"	"agb_Intermediate"	"n_Slow_1"	"n_Slow_2"	"n_Slow_3"	"n_Slow_4"	"n_Slow_5"	"n_Slow_6"	"n_Fast_1"	"n_Fast_2"	"n_Fast_3"	"n_Fast_4"	"n_Fast_5"	"n_Fast_6"	"n_LLP_1"	"n_LLP_2"	"n_LLP_3"	"n_LLP_4"	"n_LLP_5"	"n_LLP_6"	"n_SLB_1"	"n_SLB_2"	"n_SLB_3"	"n_SLB_4"	"n_SLB_5"	"n_SLB_6"	"n_Intermediate_1"	"n_Intermediate_2"	"n_Intermediate_3"	"n_Intermediate_4"	"n_Intermediate_5"	"n_Intermediate_6"	"ba_Slow_1"	"ba_Slow_2"	"ba_Slow_3"	"ba_Fast_1"	"ba_Fast_2"	"ba_Fast_3"	"ba_LLP_1"	"ba_LLP_2"	"ba_LLP_3"	"ba_SLB_1"	"ba_SLB_2"	"ba_SLB_3"	"ba_Intermediate_1"	"ba_Intermediate_2"	"ba_Intermediate_3"	"agb_Slow_1"	"agb_Slow_2"	"agb_Slow_3"	"agb_Fast_1"	"agb_Fast_2"	"agb_Fast_3"	"agb_LLP_1"	"agb_LLP_2"	"agb_LLP_3"	"agb_SLB_1"	"agb_SLB_2"	"agb_SLB_3"	"agb_Intermediate_1"	"agb_Intermediate_2"	"agb_Intermediate_3"
0	2.47351437914893	177	287	262	198.5	62	89.5	2.34227330774613	8.09433310692819	6.53683946152583	0.279405396628642	1.1664537173238	16.2155449278521	51.373236085068	58.3410924605028	1.42609458561306	10.0153581250932	2031	273	2304	14	0	287	133	170	303	92	0	262	144	148	292	48	2.5	198.5	424	62	486	0	0	62	145	82	227	7	0.5	89.5	1.62186684236982	0.72040646537631	0	2.04183887529252	6.05249423163567	0	1.38889811215205	3.91815508764902	1.22978626172477	0.279405396628642	0	0	0.571023734698115	0.439567717099467	0.155862265526224	9.03919047306907	7.17635445478307	0	8.81739965330488	42.5558364317631	0	6.70815713508301	35.4171661942011	16.2157691312187	1.42609458561306	0	0	3.20703256396438	4.48372920140239	2.32459635972646
5	2.53129132041727	204	272.564118127035	245.789383888274	208.0084873879	53.5440799057844	108.146154861311	2.39612858350975	8.24012897860967	6.90497725076796	0.270850817375368	1.23625191158421	16.9512004979743	53.8759048336	62.0967068696359	1.41945687777816	10.4565974841921	2179.72289115938	255.160585973855	2500.25347713324	17.4035321531797	0	272.564118127035	157.741892586063	150.168236454027	328.74012904009	95.6211474342476	0	245.789383888274	137.578226172696	153.513435976567	297.311662149263	52.1859390633956	2.30911234793786	208.0084873879	416.276569548725	53.5440799057844	486.650649454509	0	0	53.5440799057844	127.253400406308	99.2111518147327	232.704552221041	8.48825289424938	0.446750152328915	108.146154861311	1.51714192543499	0.878986658074766	0	1.64901015800554	6.59111882060414	0	1.32719800916017	4.37930969750688	1.1984695441009	0.270850817375368	0	0	0.577200845313232	0.512468823624509	0.146582242646472	8.19797980505051	8.75322069292384	0	6.89437733881081	46.9815274947891	0	6.21144640500371	39.9597370616806	15.9255234029515	1.41945687777816	0	0	3.04321138223379	5.20397501206785	2.2094110898905
10	2.58896560983975	231	374.992959512681	236.551526739959	197.12353323529	83.527973427852	99.5177202124214	2.68787151698397	8.33316535423905	7.22223166561309	0.348481363354787	1.25780754535998	18.5107364436108	56.0015959078259	65.7376244615707	1.73947305464403	10.7460735360637	2266.69477400621	358.632247151375	2690.69702115758	16.3607123613069	0	374.992959512681	188.733060468041	149.687224612608	359.250285080649	86.1154719365978	0.748830190753024	236.551526739959	157.655986538251	144.203497523953	308.079484062204	50.7872357771769	2.13279993415964	197.12353323529	386.428601783867	83.527973427852	486.786575211719	0	0	83.527973427852	141.956376719274	91.5342922681851	239.730668987459	7.58425654702452	0.399171397211817	99.5177202124214	1.78906010753784	0.89881140944613	0	1.63397484415333	6.47788104255913	0.221309467526593	1.37629636246485	4.67953076270158	1.16640454044665	0.348481363354787	0	0	0.608122278136339	0.512006744408414	0.137678522815226	9.33987418650778	9.17086225710301	0	6.91727824042056	46.8920263725371	2.19229129486827	6.5223224191792	43.6003387469471	15.6149632954443	1.73947305464403	0	0	3.30244585185298	5.34731455302479	2.09631313118597
15	2.64393358431447	258	356.497597912814	206.191643403447	211.320246548449	72.1317440444313	91.5103377465482	2.7479042774792	8.32516589272591	7.59257899678703	0.339934807392001	1.27865701224704	19.256690427745	57.5859984944204	69.5955395697998	1.74728776348358	11.0532976926825	2464.97980652549	339.974561615859	2870.32436814135	16.5230362969554	0	356.497597912814	232.53529659179	125.776098622432	379.141395214221	79.7675447622532	0.648000018762087	206.191643403447	151.610705982366	156.958526175463	314.789232157829	52.391770507527	1.96994986545963	211.320246548449	397.590448332143	71.8181442939131	486.238592626056	0.313599750518203	0	72.1317440444313	155.86300798594	83.6403563235754	245.743364309515	7.51332165795336	0.35665976501945	91.5103377465482	1.79278507304534	0.955119204433857	0	1.52053544282048	6.59932241370657	0.205308036198858	1.40457966654456	5.05423638316845	1.13376294707402	0.329698205052244	0.0102366023397572	0	0.614362816011555	0.535135823620595	0.129158372614894	9.35129720510568	9.90539322263937	0	6.51809174118192	49.0042787963584	2.06362795688008	6.54659046691297	47.7624309162477	15.2865181866391	1.65703413866976	0.090253624813818	0	3.39027104207809	5.67728039060786	1.9857462599966
20	2.6969732809201	285	338.937283998889	179.657901889694	200.260740699541	62.2904192490168	105.815227633973	2.8008301863024	8.26615222285084	7.90679072279518	0.329438234955059	1.34185689632745	19.9542962309934	58.7791345056666	73.3437725401597	1.74292108177474	11.4849365366583	2653.22852688126	323.80258960614	3042.4011164874	15.1346943927483	0	338.937283998889	266.462538819599	101.578615950557	388.871154770155	77.5185392845537	0.560746654583211	179.657901889694	169.90827301862	146.003200238799	322.131473257418	52.0740993923491	2.18344106839265	200.260740699541	407.735718750678	62.0231686573942	486.588887408072	0.267250591622685	0	62.2904192490168	146.53906986691	96.7434693968681	249.522539263778	8.7530826284011	0.318675608704068	105.815227633973	1.84566818912512	0.955161997177277	0	1.29956840534776	6.77656521409284	0.190018603410247	1.42776703045951	5.26899272936386	1.21003096297181	0.319650472993314	0.00978776196174589	0	0.619997048556415	0.600834705402127	0.121025142368905	9.802502606541	10.1517936244524	0	5.56304052496246	51.2797017658646	1.93639221483952	6.73272004338338	50.3741219969779	16.2369304997984	1.65345362097107	0.0894674608036683	0	3.25223353837708	6.35462349243854	1.87807950584269
25	2.74761383998502	312	435.840671220621	156.457850849691	189.777151491963	76.3835923243929	97.3683043217186	3.09095166600955	8.1647814651091	8.20002228094999	0.362752980655791	1.35952116874061	21.4990743732123	59.6110317417414	76.9970413729592	1.8909782435815	11.7619698530563	2718.42154937077	421.977663826266	3205.76921319704	13.863007394355	0	435.840671220621	292.741054873722	81.834245103705	395.405299977427	73.6531217906712	0.970483955315155	156.457850849691	186.892172218021	139.662448833308	332.77462105133	47.0896162194427	3.02508643921206	189.777151491963	393.558959060831	76.1558406166678	486.544799677499	0.227751707725066	0	76.3835923243929	159.148510195308	89.262685573083	254.651195768391	7.82088199517153	0.284736753464104	97.3683043217186	2.13920210499231	0.951749561017232	0	1.12583436659334	6.72462735756467	0.314319740951099	1.56616082772087	5.15313793088045	1.48072352234867	0.353452821967974	0.00930015868781644	0	0.650176769083845	0.596065584081888	0.113278815574878	11.1443352348512	10.3547391383611	0	4.86282391482009	51.5707031158272	3.17750471109412	7.66517716499163	49.8285696368665	19.503294571101	1.80304470726829	0.0879335363132115	0	3.52242896384833	6.46592718207116	1.77361370713685
30	2.79967393396177	339	428.99974690383	146.921773370876	208.717525822662	66.8334311118615	89.6033556301958	3.18420355984388	8.0547454133164	8.55265269440025	0.352845089615754	1.37130620548095	22.3521971444093	60.1621345851997	80.8343436646408	1.88678636025111	11.9969440213568	2879.14832407814	414.575563963125	3359.09388804127	14.4241829407048	0	428.99974690383	303.594276730364	75.675968868314	400.100245598678	70.4059964539311	0.839808048631332	146.921773370876	174.517176461727	156.176162616903	336.913339078629	49.1263450300262	3.41501817573349	208.717525822662	402.716370350193	66.6393404643657	486.185710814559	0.194090647495805	0	66.8334311118615	170.389145716247	81.7818241954648	258.410969911711	7.56711905876352	0.254412375967458	89.6033556301958	2.18301156388651	1.00119199595738	0	0.987766014032083	6.77630898416263	0.290670415121684	1.57265547352376	5.3507500539303	1.62924716694619	0.344057745233444	0.00878734438230936	0	0.656456317279498	0.608933380927842	0.10591650727361	11.3577605058923	10.9944366385171	0	4.25964081200985	52.924578969977	2.97791480321284	7.55323451254606	51.9225374238598	21.3585717282349	1.80102095781655	0.0857654024345547	0	3.61435897507429	6.7099971267838	1.67258791949872
35	2.8530927204309	366	481.843026052637	134.702480982027	197.75993330989	57.7137176155532	82.437287621844	3.40400850146965	7.89862791420912	8.8460534484276	0.339879028872302	1.37931160006661	23.6601228797661	60.3237109487261	84.5481578829958	1.86852704027474	12.2097176075748	2972.32532203843	468.630829653063	3506.32615169149	13.2121963995738	0	481.843026052637	315.480631721197	69.1198318668699	405.430463588067	64.3108756657396	1.27177344941744	134.702480982027	192.088140306458	146.039193514237	344.347333820695	47.4194703567339	4.30126943891914	197.75993330989	411.286747091631	57.548313018496	485.665060110127	0.165404597057143	0	57.7137176155532	180.772557412127	75.4487469020211	262.461304314148	6.76122318438727	0.227317535435646	82.437287621844	2.41054090631232	0.993467595157331	0	0.911884062733697	6.55729819068247	0.429445660792954	1.6290653377911	5.28732438016851	1.92966373046799	0.331618177460559	0.00826085141174294	0	0.680850450241667	0.599528236120815	0.0989329137041273	12.5134826789992	11.1466402007669	0	3.98240967998313	51.9610634595294	4.38023780921364	8.00479650826944	51.5213792467843	25.021982127942	1.78545361617654	0.0830734240981938	0	3.87234269562536	6.76218930999711	1.57518560195229
40	2.9066021055555	393	458.391106354542	120.167007338852	216.643343584691	49.8384808187915	85.6403473563208	3.46863614576039	7.72012825053367	9.19387597415767	0.32565325895843	1.40824060080349	24.4100427455706	60.240590590866	88.3541042948285	1.83951540466729	12.4923481994291	3134.47263126358	445.03649278468	3644.87912404826	13.3546135698628	0	458.391106354542	328.071567316437	57.7650047322201	406.666572048658	60.9870369588137	1.41496564781818	120.167007338852	179.181056471775	164.5547227169	349.955779188675	45.7320676689325	6.35655319885819	216.643343584691	419.134201481088	49.6975225548019	485.66172403589	0.14095826398965	0	49.8384808187915	180.169717404404	78.6561503496276	265.065867754032	6.78108871952739	0.203108287165816	85.6403473563208	2.44640099025461	1.02223515550578	0	0.78182204440391	6.45021851469915	0.48808769143061	1.70540172267909	4.90696228861581	2.58151196286277	0.31792293382107	0.00773032513735955	0	0.701395853984377	0.614524030901118	0.0923207159179938	12.8196460664692	11.5903966791014	0	3.44921315448213	51.7906415538683	5.00073588251558	8.31524533305453	47.1877445935529	32.8511143682211	1.75955336396865	0.0799620406986449	0	4.0079662727917	7.00284140126426	1.48154052537318
45	2.96079641299046	420	436.013012899584	115.525830614379	215.381672792779	44.5066075117152	78.7555897851005	3.5291635752849	7.53687397731012	9.49021255890738	0.314504574657245	1.41389129320493	25.1513520328546	59.9145765746416	91.9921988494468	1.82266838215382	12.6930048055051	3288.52668785637	423.780515707142	3777.67720356351	12.2324971924419	0	436.013012899584	330.708265194203	58.4144387388723	409.952703933076	55.6148538895152	1.49653798599155	115.525830614379	185.952373346884	163.698826171606	355.87119951849	44.5884821382997	7.09436448287356	215.381672792779	424.128134121323	44.258096523028	485.216230644351	0.248510988687178	0	44.5066075117152	189.128417428045	71.3770730729108	266.745490500955	7.1970393957285	0.181477316461187	78.7555897851005	2.51887842629612	1.01028514898878	0	0.734792015263572	6.2733226622812	0.528759299765343	1.77592924909661	4.82677419358927	2.8875091162215	0.302874709682439	0.0116298649748051	0	0.686452796179575	0.641367556797791	0.0860709402275666	13.4675194437083	11.6838325891463	0	3.26542090833366	51.2042558467771	5.44489981953084	8.78444784218915	46.4932931861641	36.7144578210936	1.7064399184279	0.116228463725922	0	3.96786150793724	7.33340093401034	1.39174236355754
